group,scenario,backend,rep,op,counter,value
blob,blob/source-history,amber-rust-s3,0,pull_incremental,s3_bytes_down,53255406
blob,blob/source-history,amber-rust-s3,0,pull_incremental,s3_bytes_up,4558
blob,blob/source-history,amber-rust-s3,0,pull_incremental,s3_connections,2
blob,blob/source-history,amber-rust-s3,0,pull_incremental,s3_request_body_bytes,0
blob,blob/source-history,amber-rust-s3,0,pull_incremental,s3_requests_GET,6
blob,blob/source-history,amber-rust-s3,0,pull_incremental,s3_requests_HEAD,1
blob,blob/source-history,amber-rust-s3,0,pull_incremental,s3_requests_total,7
blob,blob/source-history,amber-rust-s3,0,pull_incremental,s3_response_body_bytes,53254384
blob,blob/source-history,amber-rust-s3,0,pull_incremental,s3_responses_2xx,5
blob,blob/source-history,amber-rust-s3,0,pull_incremental,s3_responses_4xx,2
blob,blob/source-history,amber-rust-s3,0,pull_incremental,stored_bytes,120527146
blob,blob/source-history,amber-rust-s3,0,pull_incremental,stored_objects,3
blob,blob/source-history,amber-rust-s3,0,age_sealed_segments,segments_aged,2
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,retained_logical_bytes,1438015488
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,retained_references,13
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,s3_bytes_down,6095
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,s3_bytes_up,113919388
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,s3_connections,8
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,s3_request_body_bytes,113907887
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,s3_requests_GET,2
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,s3_requests_POST,6
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,s3_requests_PUT,8
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,s3_requests_total,16
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,s3_response_body_bytes,4325
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,s3_responses_2xx,15
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,s3_responses_4xx,1
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,stored_bytes,113749650
blob,blob/source-history,amber-rust-s3,0,retention_cleanup,stored_objects,3
blob,blob/backup-corpus,restic-s3,0,push_initial,s3_bytes_down,14363
blob,blob/backup-corpus,restic-s3,0,push_initial,s3_bytes_up,743550465
blob,blob/backup-corpus,restic-s3,0,push_initial,s3_connections,5
blob,blob/backup-corpus,restic-s3,0,push_initial,s3_request_body_bytes,743508058
blob,blob/backup-corpus,restic-s3,0,push_initial,s3_requests_DELETE,1
