core,group,op,workload,threads,rep,ops,bytes,bytes_kind,wall_ns,ns_per_op,cpu_user_ns,cpu_sys_ns,max_rss_kib,checksum,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,fstree,fstree.index_builder_file,children-128,1,0,128,0,,28274,220.890625,27000,7000,637140,5516234319160730044,,,structured,128,,128,file-index,,,1,entries,plain
go,fstree,fstree.index_builder_file,children-65536,1,0,65536,0,,8412159,128.35935974121094,8376000,0,637140,16475152812802804162,,,structured,65536,,65536,file-index,,,1,entries,plain
go,fstree,fstree.index_builder_file,children-8,1,0,8,0,,10601,1325.125,11000,3000,637140,5481630882257051986,,,structured,8,,8,file-index,,,1,entries,plain
go,fstree,fstree.list_entries,widest/first-page-100,1,0,6400,0,,8867810,1385.5953125,8840000,951000,637140,10287959357742859045,,64,structured,40000,1,40000,wide,,,1,,
go,fstree,fstree.list_entries,width-16/full-paging-100,1,0,16,0,,9879,617.4375,10000,2000,637140,8647329350532786293,,,structured,16,1,16,wide,,17,1,width,plain
go,fstree,fstree.list_entries,width-256/full-paging-100,1,0,256,0,,177258,692.4140625,181000,0,637140,13846005503640562525,,,structured,256,1,256,wide,,259,1,width,plain
go,fstree,fstree.list_entries,width-40000/full-paging-100,1,0,40000,0,,54285380,1357.1345,54214000,1146000,637140,14411079679319204100,,,structured,40000,1,40000,wide,,40257,1,width,plain
go,fstree,fstree.list_entries,width-4096/full-paging-100,1,0,4096,0,,4713304,1150.708984375,4695000,0,637140,11900522544021708933,,,structured,4096,1,4096,wide,,4122,1,width,plain
go,fstree,fstree.lookup_entry,width-16/hit,1,0,200,0,,1030098,5150.49,1025000,3000,637140,5228808254969208636,,,structured,16,1,16,wide,,17,1,width,hit
go,fstree,fstree.lookup_entry,width-16/miss,1,0,200,0,,1113387,5566.935,1080000,22000,637140,18244102546136779685,,,structured,16,1,16,wide,,17,1,width,miss
go,fstree,fstree.lookup_entry,width-256/hit,1,0,200,0,,8169185,40845.925,8140000,0,637140,16593571774314951507,,,structured,256,1,256,wide,,259,1,width,hit
go,fstree,fstree.lookup_entry,width-256/miss,1,0,200,0,,142272,711.36,117000,29000,637140,18244102546136779685,,,structured,256,1,256,wide,,259,1,width,miss
go,fstree,fstree.lookup_entry,width-40000/hit,1,0,200,0,,20728387,103641.935,20711000,892000,637140,12084480671124927790,,,structured,40000,1,40000,wide,,40257,1,width,hit
go,fstree,fstree.lookup_entry,width-40000/miss,1,0,200,0,,147221,736.105,148000,0,637140,18244102546136779685,,,structured,40000,1,40000,wide,,40257,1,width,miss
go,fstree,fstree.lookup_entry,width-4096/hit,1,0,200,0,,17767601,88838.005,17777000,0,637140,17057648340793700057,,,structured,4096,1,4096,wide,,4122,1,width,hit
go,fstree,fstree.lookup_entry,width-4096/miss,1,0,200,0,,747198,3735.99,748000,0,637140,18244102546136779685,,,structured,4096,1,4096,wide,,4122,1,width,miss
go,fstree,fstree.reachable_keys,deep,0,0,24,0,,140539,5855.791666666667,177000,0,637140,5223880262323894244,,,structured,,24,,deep,,,,,
go,fstree,fstree.reachable_keys,file-corpus,0,0,4,0,,15490,3872.5,20000,0,637140,1000385178204227360,,,text,4,,,file-index,,,,,
go,fstree,fstree.reachable_keys,width-16,0,0,17,0,,25088,1475.764705882353,36000,0,637140,8753205170136912308,,,structured,16,1,16,wide,,17,,width,plain
go,fstree,fstree.reachable_keys,width-256,0,0,259,0,,125740,485.4826254826255,146000,0,637140,10166096353870829249,,,structured,256,1,256,wide,,259,,width,plain
go,fstree,fstree.reachable_keys,width-40000,0,0,40257,0,,9160870,227.55967906202648,20248000,666000,637140,8781341933545400491,,,structured,40000,1,40000,wide,,40257,,width,plain
go,fstree,fstree.reachable_keys,width-4096,0,0,4122,0,,587191,142.45293546821932,1428000,338000,637140,2551262535976545999,,,structured,4096,1,4096,wide,,4122,,width,plain
go,fstree,fstree.resolve_entry,depth-1,1,0,256,0,,1553497,6068.34765625,1555000,0,637140,14437412121268626213,,256,structured,,1,16,deep,,,1,depth,plain
go,fstree,fstree.resolve_entry,depth-12,1,0,256,0,,4055597,15842.17578125,4045000,2000,637140,14437412121268626213,,256,structured,,12,16,deep,,,1,depth,plain
go,fstree,fstree.resolve_entry,depth-24,1,0,256,0,,6881305,26880.09765625,6852000,0,637140,14437412121268626213,,256,structured,,24,16,deep,,,1,depth,plain
go,fstree,fstree.resolve_entry,depth-4,1,0,256,0,,2251030,8793.0859375,2252000,0,637140,14437412121268626213,,256,structured,,4,16,deep,,,1,depth,plain
go,fstree,fstree.resolve_path,depth-1,1,0,256,0,,232303,907.43359375,196000,46000,637140,11225199624901261093,,256,structured,,1,16,deep,,,1,depth,plain
go,fstree,fstree.resolve_path,depth-12,1,0,256,0,,2657967,10382.68359375,2655000,0,637140,11225199624901261093,,256,structured,,12,16,deep,,,1,depth,plain
