group,scenario,backend,rep,op,counter,value
blob,blob/backup-corpus,amber-rust-s3,1,push_incremental,s3_requests_total,4
blob,blob/backup-corpus,amber-rust-s3,1,push_incremental,s3_response_body_bytes,1551
blob,blob/backup-corpus,amber-rust-s3,1,push_incremental,s3_responses_2xx,3
blob,blob/backup-corpus,amber-rust-s3,1,push_incremental,s3_responses_4xx,1
blob,blob/backup-corpus,amber-rust-s3,1,push_incremental,stored_bytes,15625711
blob,blob/backup-corpus,amber-rust-s3,1,push_incremental,stored_objects,3
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,delivered_logical_bytes,34257224
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,delivered_references,1
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,s3_bytes_down,7188356
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,s3_bytes_up,4522
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,s3_connections,2
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,s3_request_body_bytes,0
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,s3_requests_GET,6
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,s3_requests_HEAD,1
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,s3_requests_total,7
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,s3_response_body_bytes,7187337
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,s3_responses_2xx,5
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,s3_responses_4xx,2
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,stored_bytes,15625711
blob,blob/backup-corpus,amber-rust-s3,1,pull_incremental,stored_objects,3
blob,blob/backup-corpus,amber-rust-s3,1,age_sealed_segments,segments_aged,2
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,retained_logical_bytes,34257224
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,retained_references,1
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,s3_bytes_down,3491
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,s3_bytes_up,15464239
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,s3_connections,5
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,s3_request_body_bytes,15459664
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,s3_requests_GET,2
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,s3_requests_POST,2
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,s3_requests_PUT,3
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,s3_requests_total,7
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,s3_response_body_bytes,2446
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,s3_responses_2xx,6
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,s3_responses_4xx,1
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,stored_bytes,15437740
